happy	^^
happy	^.^
happy	^o^
happy	^_^
happy	^__^
happy	^___^
happy	^____^
happy	^_____^
happy	^______^
happy	^_______^
happy	^________^
happy	^_________^
happy	^__________^
happy	yay
happy	yaay
happy	yaaay
happy	yaaaay
happy	yaaaaay
happy	yaaaaaay
happy	yaaaaaaay
happy	yaaaaaaaay
happy	yaaaaaaaaay
happy	yaaaaaaaaaay
happy	:)
happy	;)
happy	happy
happy	awesome
happy	cool
happy	interesting
happy	pretty
happy	neat
happy	yes
happy	indeed
happy	flowers
happy	good
happy	best
happy	brilliant
happy	warm

angry	><
angry	>.<
angry	>_<
angry	>__<
angry	>___<
angry	>____<
angry	>_____<
angry	>______<
angry	>_______<
angry	>________<
angry	>_________<
angry	>__________<
angry	?!
angry	:|
angry	:/
angry	D:<
angry	hate
angry	bad
angry	die
angry	angry
angry	stupid
angry	awful
angry	don't like
angry	dislike
angry	worst
angry	never
angry	fuck
angry	shit
angry	pissed off
angry	crap
angry	crappy
angry	wtf

sad	:(
sad	:/
sad	T_T
sad	T__T
sad	T___T
sad	T____T
sad	T_____T
sad	T______T
sad	T_______T
sad	T________T
sad	T_________T
sad	T__________T
sad	Q_Q
sad	Q__Q
sad	Q___Q
sad	Q____Q
sad	Q_____Q
sad	Q______Q
sad	Q_______Q
sad	Q________Q
sad	Q_________Q
sad	Q__________Q
sad	;-;
sad	;--;
sad	;---;
sad	;----;
sad	;-----;
sad	;------;
sad	;-------;
sad	;--------;
sad	;---------;
sad	;----------;
sad	;_;
sad	;__;
sad	;___;
sad	;____;
sad	;_____;
sad	;______;
sad	;_______;
sad	;________;
sad	;_________;
sad	;__________;
sad	sad
sad	lonely
sad	sucks
sad	horrible
sad	scary
sad	go away
sad	mean
sad	worst
sad	never
sad	cold
sad	scared
sad	bad

loving	<3
loving	&lt;3
loving	love
loving	like
loving	awesome
loving	fanfiction
loving	fanfic
loving	fuzzy
loving	best
loving	want more
loving	awesome
loving	awh
loving	cute

silly	ahaha
silly	ahahaha
silly	ahahahaha
silly	ahahahahaha
silly	ahahahahahaha
silly	ahahahahahahaha
silly	ahahahahahahahaha
silly	ahahahahahahahahaha
silly	ahahahahahahahahahaha
silly	ahahahahahahahahahahaha
silly	hehe
silly	hehehe
silly	hehehehe
silly	hehehehehe
silly	hehehehehehe
silly	hehehehehehehe
silly	hehehehehehehehe
silly	hehehehehehehehehe
silly	hehehehehehehehehehe
silly	hehehehehehehehehehehe
silly	haha
silly	hahaha
silly	hahahaha
silly	hahahahaha
silly	hahahahahaha
silly	hahahahahahaha
silly	hahahahahahahaha
silly	hahahahahahahahaha
silly	hahahahahahahahahaha
silly	hahahahahahahahahahaha
silly	xD
silly	xDD
silly	xDDD
silly	xDDDD
silly	xDDDDD
silly	xDDDDDD
silly	xDDDDDDD
silly	xDDDDDDDD
silly	xDDDDDDDDD
silly	xDDDDDDDDDD
silly	:3
silly	;p
silly	:P
silly	rofl
silly	lol
silly	teehee
silly	brilliant
silly	yeah
silly	dunno
silly	cba
silly	tbh
silly	this is why we can't have nice things
silly	tumblr
silly	wasting time
silly	can't be bothered
silly	don't wanna

excited	:D
excited	:DD
excited	:DDD
excited	:DDDD
excited	:DDDDD
excited	:DDDDDD
excited	:DDDDDDD
excited	:DDDDDDDD
excited	:DDDDDDDDD
excited	:DDDDDDDDDD
excited	;D
excited	;DD
excited	;DDD
excited	;DDDD
excited	;DDDDD
excited	;DDDDDD
excited	;DDDDDDD
excited	;DDDDDDDD
excited	;DDDDDDDDD
excited	;DDDDDDDDDD
excited	:3
excited	:33
excited	:333
excited	:3333
excited	:33333
excited	:333333
excited	:3333333
excited	:33333333
excited	:333333333
excited	:3333333333
excited	wow
excited	awesome
excited	can't wait
excited	!
excited	nice
excited	cool
excited	woah
excited	holy crap
excited	best
excited	didn't know
excited	learned something new
excited	~
excited	hah
excited	heh
